word	value
لبناني	-6.53195520345636
حاج	-6.53195520345636
تعالى	-6.507993385486902
أسبوع	-6.356438962159489
مسيحي	-6.32899867978402
رب	-6.289605862051251
بنفسجي	-6.194072057513594
غد	-6.194072057513594
كتير	-6.194072057513594
سعد	-6.194072057513594
اخوي	-6.187630681160704
متابع	-6.187630681160704
طيران	-6.187630681160704
ابوي	-6.187630681160704
أمل	-6.187630681160704
صلى	-6.125636417840041
يساري	-6.122577181922814
فوز	-6.122577181922814
ص	-6.122577181922814
شائع	-6.080620687166618
مبارا	-6.080620687166618
–	-6.080620687166618
جزاء	-6.080620687166618
فرنسا	-6.080620687166618
طير	-6.080620687166618
درجة	-6.080620687166618
نبات	-6.080620687166618
اجعل	-6.024138516444449
أجانب	-6.012270203799784
موقع	-5.799056241951497
حوار	-5.7708739120922266
خصم	-5.7708739120922266
قصر	-5.7708739120922266
ريح	-5.7708739120922266
سالم	-5.7708739120922266
عاد	-5.76401449512261
فين	-5.739752621456693
كنز	-5.739752621456693
جل	-5.739752621456693
حادث	-5.739752621456693
بد	-5.7157247153691735
عشق	-5.6881560630273045
طائر	-5.6881560630273045
مكرمه	-5.6881560630273045
قهو	-5.6881560630273045
طعام	-5.612849058341253
انشط	-5.612849058341253
تشرف	-5.612849058341253
نشاط	-5.612849058341253
إنهاء	-5.612849058341253
سداد	-5.612849058341253
حرص	-5.612849058341253
نبت	-5.612849058341253
نبع	-5.612849058341253
توفى	-5.612849058341253
هاب	-5.612849058341253
لايك	-5.612849058341253
جيل	-5.608881884222532
مدرسة	-5.528836504271932
موظف	-5.515483902677869
نوم	-5.515483902677869
دمعة	-5.488386853690989
كلم	-5.474819680283752
سفر	-5.451536807367832
امر	-5.387197826764134
رضي	-5.378472372822652
مطار	-5.357903853378849
حضور	-5.357903853378849
شيخ	-5.3198942600807655
وفاء	-5.287022831892419
سير	-5.287022831892419
جمعي	-5.287022831892419
حاجة	-5.287022831892419
[	-5.287022831892419
مرهق	-5.287022831892419
دراسه	-5.287022831892419
خاطر	-5.287022831892419
امني	-5.287022831892419
فارس	-5.256774332784946
تحي	-5.256774332784946
معاملة	-5.256774332784946
حكوميه	-5.256774332784946
مرحبا	-5.256774332784946
عباس	-5.256774332784946
تبوك	-5.256774332784946
أمين	-5.242164937361848
مخالف	-5.242164937361848
مو	-5.161516530795419
روي	-5.1450826925026165
منشاه	-5.1450826925026165
مايك	-5.1450826925026165
رقب	-5.1450826925026165
دواسر	-5.1450826925026165
خيبري	-5.1450826925026165
أقدر	-5.1450826925026165
ثمين	-5.1450826925026165
عشاء	-5.1450826925026165
تبرع	-5.1450826925026165
تدني	-5.1450826925026165
مسافه	-5.1450826925026165
انتخاب	-5.1450826925026165
هداف	-5.1450826925026165
اختبار	-5.1450826925026165
شهراني	-5.1450826925026165
بيئ	-5.1450826925026165
اخبار	-5.135318059045665
كريم	-5.109035755223101
نور	-5.077906281014755
فخر	-5.077906281014755
حج	-5.02764539785812
