word	value
سلام	-0.39511827148877043
نجاح	-0.3917373207079327
زهراني	-0.3860365753940061
شعر	-0.3860365753940061
نادي	-0.38120081597904804
مسابقة	-0.3797855037524459
جهد	-0.37892051785347736
نقل	-0.37778036879069204
ما	-0.37766056787932706
جميل	-0.3766402197279067
طول	-0.3766402197279067
اخضر	-0.36952416218737805
أصفر	-0.3669687008979906
شيخ	-0.3660642185915039
فريق	-0.36582855183520524
جد	-0.36032397687005907
كان	-0.36024498405502237
…	-0.35784750839570795
تعليم	-0.3555672102701373
حج	-0.35069195444766116
قدم	-0.34986646495621077
قمر	-0.3493161386285772
عاجل	-0.3493161386285772
حفظ	-0.3490014790572422
حلو	-0.3481759895657919
رسول	-0.3475861668306401
أمن	-0.3464460177678548
محمد	-0.33669550612290217
صوت	-0.3347298675686665
عمل	-0.3343757115898134
صغير	-0.3330788885857659
أستاذ	-0.33052342729637846
مطير	-0.33024826413256164
حلق	-0.3293832782335931
دائم	-0.32454751881863503
حديث	-0.3234073697558497
جميع	-0.3233283769408133
كلم	-0.3219525611217294
سنة	-0.32136273838657764
مدرسه	-0.3208519084664623
موسم	-0.3188467735047084
جنوبي	-0.3181384615470019
رقم	-0.316291312215321
متوسط	-0.3154263263163525
لبناني	-0.31456134041738393
حاج	-0.31456134041738393
كف	-0.3103154037375776
ترجم	-0.3054796443226195
توفيق	-0.30433949525983417
عز	-0.3026095234618971
عاد	-0.2969087781479705
أحمد	-0.29635845182033693
جمع	-0.29549346592136844
قرار	-0.29376349412343133
خالد	-0.29293800463198094
موافق	-0.29065770650641026
حياه	-0.29065770650641026
كتاب	-0.28837740838083964
حياة	-0.2872372593180544
خير	-0.28601811744023276
بيان	-0.28554678392763544
صلى	-0.28495696119248376
سهل	-0.284681798028667
بريد	-0.28071102451267743
قران	-0.2798460386137088
سعاده	-0.2724548179093634
جهيمان	-0.2701745197837927
أكثر	-0.26781522884318576
مدير	-0.26561392353265145
دراسي	-0.2641986113060493
ناس	-0.2638049589196781
وقت	-0.26270430626441077
عيد	-0.26219347634429546
خدمة	-0.25735771692933734
إبريق	-0.25594240470273527
ثلاث	-0.2550774188037668
دوار	-0.25480225563994996
ارحم	-0.25480225563994996
نصر	-0.25389777333346325
مدرب	-0.2525219575143793
ا	-0.2525219575143793
معني	-0.25138180845159397
د	-0.25024165938880866
مطوي	-0.25024165938880866
أجانب	-0.2493766734898401
واقع	-0.247961361263238
تصفيق	-0.24682121220045267
«	-0.2465460490366359
نجدي	-0.24540589997385062
شمر	-0.24426575091106528
ضيف	-0.24312560184827994
جنه	-0.2408453037227093
نجم	-0.23970515465992398
ياباني	-0.23942999149610722
امي	-0.23856500559713867
حمدلله	-0.23742485653435333
عنزي	-0.23714969337053657
رائع	-0.23714969337053657
مبروك	-0.23600954430775123
ﷺ	-0.23600954430775123
اجعل	-0.23514455840878268
مجلس	-0.2345547356736309
•	-0.23372924618218055
لواء	-0.23258909711939524
اسود	-0.23117378489279317
طالب	-0.2308196289139401
مشعر	-0.23003363583000785
هات	-0.23003363583000785
نظر	-0.22971897625867288
حرب	-0.22680935899043234
منطق	-0.2251583800075316
ولد	-0.22488321684371484
قبيلة	-0.2245685572723798
تعالى	-0.22205259239051056
حال	-0.22201309598299235
»	-0.2217774292266938
مناسب	-0.2206372801639085
اهلي	-0.2206372801639085
رد	-0.22055828734887195
بد	-0.21977229426493994
شاب	-0.21918247152978815
رضي	-0.2186321452021546
برنامج	-0.21776715930318605
أجمل	-0.21493653484998185
طبيب	-0.21371739297216022
رحمن	-0.21352122262337977
نازحه	-0.21238107356059444
عهد	-0.21179125082544267
امر	-0.21151608766162588
ساعه	-0.2112409244978091
سناب	-0.2112409244978091
شمس	-0.2112409244978091
طرف	-0.2078204773094531
قليل	-0.2075058177381182
موقع	-0.20554017918388248
شاعر	-0.2041248669572804
مطلق	-0.20298471789449507
متوسطه	-0.2018445688317098
صل	-0.20070441976892445
أسبوع	-0.19956427070613908
مر	-0.19893495156346908
و	-0.19751701595924556
سفر	-0.19728397258056843
دمام	-0.19700880941675167
هروب	-0.19692981660171527
فخر	-0.19614382351778312
نور	-0.19614382351778312
فهد	-0.19586866035396636
رؤي	-0.19586866035396636
اسيا	-0.19586866035396636
ولايه	-0.19516034839625976
شاء	-0.19386352539221247
اسقاط	-0.19374503616965794
عود	-0.19272337632942715
ودع	-0.19158322726664184
نوم	-0.19016791504003971
موظف	-0.19016791504003971
نجي	-0.18989275187622295
اسمائ	-0.18989275187622295
اشعري	-0.18989275187622295
انجليزيه	-0.18989275187622295
احبك	-0.18989275187622295
نخل	-0.18989275187622295
داود	-0.1895385958973699
كريم	-0.1890277659772544
وضع	-0.18784812050695088
متداول	-0.18761245375065233
اجر	-0.18761245375065233
بحث	-0.18702263101550054
اخو	-0.18702263101550054
دائر	-0.18674746785168375
يا	-0.1856073187888984
زر	-0.18533215562508168
عزيز	-0.1833270206633278
جيل	-0.18305185749951103
نقطة	-0.18077155937394035
مسير	-0.1804963962101236
هنا	-0.18018173663878861
وادي	-0.17935624714733828
ريال	-0.17849126124836973
امان	-0.17849126124836973
ماهو	-0.17849126124836973
